antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Gender_Male'}),frozenset({'family_history_with_overweight_yes'}),0.5059213642823307,0.817621980104216,0.4334438654666035,0.8567415730337078,1.0478455739711223,0.019791437825057878,1.2730700996646873
frozenset({'Gender_Male'}),frozenset({'FAVC_yes'}),0.5059213642823307,0.8839412600663192,0.4576030317385126,0.9044943820224719,1.0232516829846936,0.010398263500317861,1.2152032769526573
frozenset({'Gender_Male'}),frozenset({'CAEC_Sometimes'}),0.5059213642823307,0.8360966366650876,0.4362861203221222,0.8623595505617977,1.0314113378107395,0.013286969228652967,1.190808109127118
frozenset({'Gender_Male'}),frozenset({'CALC_Sometimes'}),0.5059213642823307,0.6636665087636191,0.3268593083846518,0.646067415730337,0.9734820232739054,-0.008903757157529724,0.9502755784139013
frozenset({'Gender_Male'}),frozenset({'MTRANS_Public_Transportation'}),0.5059213642823307,0.7484604452865941,0.3439128375177641,0.6797752808988763,0.9082314037832454,-0.03474929207299032,0.7855094866488814
frozenset({'NObeyesdad_Obesity_Type_II'}),frozenset({'Gender_Male'}),0.14069161534817623,0.5059213642823307,0.1397441970630033,0.9932659932659932,1.9632813780753853,0.0685653030829691,73.37067740407302
frozenset({'family_history_with_overweight_yes'}),frozenset({'FAVC_yes'}),0.817621980104216,0.8839412600663192,0.7484604452865941,0.9154113557358053,1.035602021413872,0.025730641935354348,1.3720368844214592
frozenset({'FAVC_yes'}),frozenset({'family_history_with_overweight_yes'}),0.8839412600663192,0.817621980104216,0.7484604452865941,0.8467309753483387,1.035602021413872,0.025730641935354348,1.189920927012353
frozenset({'CAEC_Sometimes'}),frozenset({'family_history_with_overweight_yes'}),0.8360966366650876,0.817621980104216,0.7323543344386547,0.8759206798866856,1.0713027550641907,0.04874334681007053,1.469850251671502
frozenset({'family_history_with_overweight_yes'}),frozenset({'CAEC_Sometimes'}),0.817621980104216,0.8360966366650876,0.7323543344386547,0.8957126303592121,1.071302755064191,0.04874334681007053,1.571651139533661
frozenset({'CALC_Sometimes'}),frozenset({'family_history_with_overweight_yes'}),0.6636665087636191,0.817621980104216,0.5381335859782094,0.8108493932905069,0.9917167260928504,-0.004494739045952878,0.964194739147145
frozenset({'family_history_with_overweight_yes'}),frozenset({'CALC_Sometimes'}),0.817621980104216,0.6636665087636191,0.5381335859782094,0.6581691772885283,0.9917167260928503,-0.004494739045952878,0.9839179760576158
